
# Surface 0 of 1 surfaces

# Curve title: ""map.dat" using 1:2:3"

# IsoCurve 0, 101 points
# x y z type
 0 -0  5.9616 i
 0.0387 -0  5.937 i
 0.0775 -0  5.8635 i
 0.1162 -0  5.7418 i
 0.155 -0  5.573 i
 0.1937 -0  5.359 i
 0.2325 -0  5.1022 i
 0.2712 -0  4.8057 i
 0.3099 -0  4.4734 i
 0.3487 -0  4.1103 i
 0.3874 -0  3.722 i
 0.4262 -0  3.3151 i
 0.4649 -0  2.897 i
 0.5036 -0  2.4755 i
 0.5424 -0  2.0591 i
 0.5811 -0  1.6564 i
 0.6199 -0  1.2759 i
 0.6586 -0  0.9255 i
 0.6974 -0  0.6125 i
 0.7361 -0  0.3429 i
 0.7748 -0  0.1215 i
 0.8136 -0 -0.049 i
 0.8523 -0 -0.1676 i
 0.8911 -0 -0.2356 i
 0.9298 -0 -0.2562 i
 0.9686 -0 -0.2348 i
 1.0073 -0 -0.1789 i
 1.046 -0 -0.0975 i
 1.0848 -0 -0.0009 i
 1.1235 -0  0.0998 i
 1.1623 -0  0.193 i
 1.201 -0  0.2676 i
 1.2397 -0  0.3129 i
 1.2785 -0  0.3198 i
 1.3172 -0  0.2808 i
 1.356 -0  0.1908 i
 1.3947 -0  0.0471 i
 1.4335 -0 -0.1501 i
 1.4722 -0 -0.3979 i
 1.5109 -0 -0.6908 i
 1.5497 -0 -1.0204 i
 1.5884 -0 -1.3764 i
 1.6272 -0 -1.7467 i
 1.6659 -0 -2.118 i
 1.7046 -0 -2.4762 i
 1.7434 -0 -2.8078 i
 1.7821 -0 -3.0995 i
 1.8209 -0 -3.3397 i
 1.8596 -0 -3.5187 i
 1.8984 -0 -3.6291 i
 1.9371 -0 -3.6664 i
 1.9758 -0 -3.6291 i
 2.0146 -0 -3.5187 i
 2.0533 -0 -3.3397 i
 2.0921 -0 -3.0995 i
 2.1308 -0 -2.8078 i
 2.1696 -0 -2.4762 i
 2.2083 -0 -2.118 i
 2.247 -0 -1.7467 i
 2.2858 -0 -1.3764 i
 2.3245 -0 -1.0204 i
 2.3633 -0 -0.6908 i
 2.402 -0 -0.3979 i
 2.4407 -0 -0.1501 i
 2.4795 -0  0.0471 i
 2.5182 -0  0.1908 i
 2.557 -0  0.2808 i
 2.5957 -0  0.3198 i
 2.6345 -0  0.3129 i
 2.6732 -0  0.2676 i
 2.7119 -0  0.193 i
 2.7507 -0  0.0998 i
 2.7894 -0 -0.0009 i
 2.8282 -0 -0.0975 i
 2.8669 -0 -0.1789 i
 2.9057 -0 -0.2348 i
 2.9444 -0 -0.2562 i
 2.9831 -0 -0.2356 i
 3.0219 -0 -0.1676 i
 3.0606 -0 -0.049 i
 3.0994 -0  0.1215 i
 3.1381 -0  0.3429 i
 3.1768 -0  0.6125 i
 3.2156 -0  0.9255 i
 3.2543 -0  1.2759 i
 3.2931 -0  1.6564 i
 3.3318 -0  2.0591 i
 3.3706 -0  2.4755 i
 3.4093 -0  2.897 i
 3.448 -0  3.3151 i
 3.4868 -0  3.722 i
 3.5255 -0  4.1103 i
 3.5643 -0  4.4734 i
 3.603 -0  4.8056 i
 3.6417 -0  5.1022 i
 3.6805 -0  5.359 i
 3.7192 -0  5.573 i
 3.758 -0  5.7418 i
 3.7967 -0  5.8635 i
 3.8355 -0  5.937 i
 3.8742 -0  5.9616 o

# IsoCurve 1, 101 points
# x y z type
 0  0.1007  7.5184 i
 0.0387  0.1007  7.4858 i
 0.0775  0.1007  7.3884 i
 0.1162  0.1007  7.228 i
 0.155  0.1007  7.0075 i
 0.1937  0.1007  6.7308 i
 0.2325  0.1007  6.4032 i
 0.2712  0.1007  6.0305 i
 0.3099  0.1007  5.6199 i
 0.3487  0.1007  5.1793 i
 0.3874  0.1007  4.717 i
 0.4262  0.1007  4.2423 i
 0.4649  0.1007  3.7645 i
 0.5036  0.1007  3.293 i
 0.5424  0.1007  2.837 i
 0.5811  0.1007  2.4054 i
 0.6199  0.1007  2.0062 i
 0.6586  0.1007  1.6464 i
 0.6974  0.1007  1.3317 i
 0.7361  0.1007  1.0662 i
 0.7748  0.1007  0.8522 i
 0.8136  0.1007  0.6904 i
 0.8523  0.1007  0.5791 i
 0.8911  0.1007  0.5149 i
 0.9298  0.1007  0.4924 i
 0.9686  0.1007  0.5046 i
 1.0073  0.1007  0.5429 i
 1.046  0.1007  0.5975 i
 1.0848  0.1007  0.658 i
 1.1235  0.1007  0.7136 i
 1.1623  0.1007  0.7536 i
 1.201  0.1007  0.7679 i
 1.2397  0.1007  0.7476 i
 1.2785  0.1007  0.6853 i
 1.3172  0.1007  0.5756 i
 1.356  0.1007  0.4151 i
 1.3947  0.1007  0.2031 i
 1.4335  0.1007 -0.0588 i
 1.4722  0.1007 -0.3663 i
 1.5109  0.1007 -0.7127 i
 1.5497  0.1007 -1.0892 i
 1.5884  0.1007 -1.485 i
 1.6272  0.1007 -1.8883 i
 1.6659  0.1007 -2.2859 i
 1.7046  0.1007 -2.6646 i
 1.7434  0.1007 -3.0114 i
 1.7821  0.1007 -3.3141 i
 1.8209  0.1007 -3.5618 i
 1.8596  0.1007 -3.7455 i
 1.8984  0.1007 -3.8585 i
 1.9371  0.1007 -3.8966 i
 1.9758  0.1007 -3.8585 i
 2.0146  0.1007 -3.7455 i
 2.0533  0.1007 -3.5618 i
 2.0921  0.1007 -3.3141 i
 2.1308  0.1007 -3.0114 i
