
# Surface 0 of 1 surfaces

# Curve title: ""map.dat" using 1:2:3"

# IsoCurve 0, 101 points
# x y z type
 1.0261 -0 -3.5118 i
 1.0861 -0 -4.2369 i
 1.1461 -0 -6.0979 i
 1.2061 -0 -8.2711 i
 1.2661 -0 -9.7362 i
 1.3261 -0 -9.6667 i
 1.3861 -0 -7.7533 i
 1.4461 -0 -4.3401 i
 1.5061 -0 -0.3239 i
 1.5661 -0  3.1451 i
 1.6261 -0  5.0529 i
 1.6861 -0  4.8576 i
 1.7461 -0  2.655 i
 1.8061 -0 -0.8826 i
 1.8661 -0 -4.761 i
 1.9261 -0 -8.0141 i
 1.9861 -0 -10.0142 i
 2.0461 -0 -10.6324 i
 2.1061 -0 -10.1984 i
 2.1661 -0 -9.2884 i
 2.2261 -0 -8.4374 i
 2.2861 -0 -7.8977 i
 2.3461 -0 -7.5434 i
 2.4061 -0 -6.9593 i
 2.4661 -0 -5.6758 i
 2.5261 -0 -3.448 i
 2.5861 -0 -0.4575 i
 2.6461 -0  2.6574 i
 2.7061 -0  4.9708 i
 2.7661 -0  5.5856 i
 2.8261 -0  3.982 i
 2.8861 -0  0.264 i
 2.9461 -0 -4.798 i
 3.0061 -0 -9.9582 i
 3.0661 -0 -13.8648 i
 3.1261 -0 -15.4834 i
 3.1861 -0 -14.4272 i
 3.2461 -0 -11.0791 i
 3.3061 -0 -6.4606 i
 3.3661 -0 -1.8957 i
 3.4261 -0  1.4139 i
 3.4861 -0  2.7523 i
 3.5461 -0  2.0708 i
 3.6061 -0 -0.0673 i
 3.6661 -0 -2.7455 i
 3.7261 -0 -5.0504 i
 3.7861 -0 -6.3901 i
 3.8461 -0 -6.6588 i
 3.9061 -0 -6.1966 i
 3.9661 -0 -5.574 i
 4.0261 -0 -5.2995 i
 4.0861 -0 -5.574 i
 4.1461 -0 -6.1965 i
 4.2061 -0 -6.6587 i
 4.2661 -0 -6.39 i
 4.3261 -0 -5.0504 i
 4.3861 -0 -2.7455 i
 4.4461 -0 -0.0674 i
 4.5061 -0  2.0707 i
 4.5661 -0  2.7522 i
 4.6261 -0  1.4139 i
 4.6861 -0 -1.8957 i
 4.7461 -0 -6.4606 i
 4.8061 -0 -11.0791 i
 4.8661 -0 -14.4272 i
 4.9261 -0 -15.4834 i
 4.9861 -0 -13.8649 i
 5.0461 -0 -9.9582 i
 5.1061 -0 -4.798 i
 5.1661 -0  0.264 i
 5.2261 -0  3.982 i
 5.2861 -0  5.5856 i
 5.3461 -0  4.9707 i
 5.4061 -0  2.6573 i
 5.4661 -0 -0.4575 i
 5.5261 -0 -3.448 i
 5.5861 -0 -5.6759 i
 5.6461 -0 -6.9594 i
 5.7061 -0 -7.5435 i
 5.7661 -0 -7.8978 i
 5.8261 -0 -8.4374 i
 5.8861 -0 -9.2883 i
 5.9461 -0 -10.1983 i
 6.0061 -0 -10.6324 i
 6.0661 -0 -10.0142 i
 6.1261 -0 -8.0142 i
 6.1861 -0 -4.7612 i
 6.2461 -0 -0.8828 i
 6.3061 -0  2.6547 i
 6.3661 -0  4.8574 i
 6.4261 -0  5.0527 i
 6.4861 -0  3.145 i
 6.5461 -0 -0.3239 i
 6.6061 -0 -4.34 i
 6.6661 -0 -7.7532 i
 6.7261 -0 -9.6665 i
 6.7861 -0 -9.736 i
 6.8461 -0 -8.271 i
 6.9061 -0 -6.0978 i
 6.9661 -0 -4.2369 i
 7.0261 -0 -3.5118 o

# IsoCurve 1, 101 points
# x y z type
 1.0158  0.0282 -3.3666 i
 1.0758  0.0282 -3.5663 i
 1.1358  0.0282 -5.0376 i
 1.1958  0.0282 -7.076 i
 1.2558  0.0282 -8.6753 i
 1.3158  0.0282 -8.9073 i
 1.3758  0.0282 -7.279 i
 1.4358  0.0282 -3.9381 i
 1.4958  0.0282  0.3496 i
 1.5558  0.0282  4.4409 i
 1.6158  0.0282  7.1863 i
 1.6758  0.0282  7.7984 i
 1.7358  0.0282  6.0903 i
 1.7958  0.0282  2.5052 i
 1.8558  0.0282 -2.0613 i
 1.9158  0.0282 -6.5722 i
 1.9758  0.0282 -10.1748 i
 2.0358  0.0282 -12.4253 i
 2.0958  0.0282 -13.3413 i
 2.1558  0.0282 -13.2816 i
 2.2158  0.0282 -12.7196 i
 2.2758  0.0282 -12.0116 i
 2.3358  0.0282 -11.2592 i
 2.3958  0.0282 -10.3165 i
 2.4558  0.0282 -8.9313 i
 2.5158  0.0282 -6.9505 i
 2.5758  0.0282 -4.4904 i
 2.6358  0.0282 -1.9886 i
 2.6958  0.0282 -0.1019 i
 2.7558  0.0282  0.5195 i
 2.8158  0.0282 -0.5049 i
 2.8758  0.0282 -3.0919 i
 2.9358  0.0282 -6.6556 i
 2.9958  0.0282 -10.2524 i
 3.0558  0.0282 -12.8688 i
 3.1158  0.0282 -13.7514 i
 3.1758  0.0282 -12.6613 i
 3.2358  0.0282 -9.957 i
 3.2958  0.0282 -6.473 i
 3.3558  0.0282 -3.2357 i
 3.4158  0.0282 -1.1191 i
 3.4758  0.0282 -0.5652 i
 3.5358  0.0282 -1.4684 i
 3.5958  0.0282 -3.2607 i
